text,urgency
Submit report by EOD,urgent
Call mom back ASAP,urgent
Pick up prescription before pharmacy closes,urgent
Meeting starts in 30 minutes,urgent
Deadline today at 5pm,urgent
Emergency dentist appointment needed,urgent
Car registration expires today,urgent
Upload assignment before midnight,urgent
Pay rent - due today,urgent
Doctor's appointment in 2 hours,urgent
Grocery store closes in 1 hour,urgent
Submit expense report today,urgent
Client presentation at 3pm,urgent
Urgent email from boss needs response,urgent
Blood test appointment at 4pm today,urgent
Fix broken pipe - water everywhere,urgent
Interview prep for tomorrow 9am,urgent
Tax deadline is today,urgent
Pick up kids from school at 3:30pm,urgent
Confirm dinner reservation for tonight,urgent
Reply to urgent customer complaint,urgent
Birthday party prep - guests arrive at 6pm,urgent
Medicine running out - need refill today,urgent
Flight check-in closes in 2 hours,urgent
Fix laptop before tomorrow's presentation,urgent
Call insurance about accident today,urgent
Submit job application - deadline midnight,urgent
Emergency vet visit for sick cat,urgent
Return library books today or pay fine,urgent
Confirm wedding venue availability for June,urgent
Gas tank almost empty,urgent
Meeting with lawyer at 2pm today,urgent
Upload portfolio by end of business,urgent
Finish grocery shopping before storm,urgent
Call plumber about leak immediately,urgent
Doctor results ready for pickup today,urgent
Complete project proposal by 6pm,urgent
Pick up suit from dry cleaner today,urgent
Urgent invoice needs approval,urgent
Call bank about suspicious charges,urgent
Submit timesheet before payroll cutoff,urgent
Emergency backup needed for server,urgent
Confirm flight departure time,urgent
Take medication at 8pm sharp,urgent
Reply to wedding RSVP by today,urgent
Fix security issue on website now,urgent
Pick up birthday cake by 5pm,urgent
Call mom for her birthday today,urgent
Submit final draft before deadline,urgent
Emergency meeting at 4pm,urgent
Schedule annual health checkup next month,later
Plan summer vacation for July,later
Research graduate school programs,later
Start Christmas shopping in November,later
Book hotel for business trip next quarter,later
Plan kitchen renovation for spring,later
Look into new gym membership options,later
Research investment opportunities,later
Plan anniversary dinner for next month,later
Book flight for cousin's wedding in September,later
Start learning Spanish this year,later
Find new apartment by end of lease,later
Plan garden layout for spring planting,later
Research preschools for next school year,later
Schedule car maintenance for next month,later
Plan weekend getaway for next month,later
Look into solar panel installation,later
Research new laptop options for upgrade,later
Plan Thanksgiving menu and shopping,later
Book vacation rental for spring break,later
Research wedding venues for next year,later
Plan home office setup in spare room,later
Look into professional development courses,later
Schedule family photos for holidays,later
Plan birthday party for next month,later
Research new insurance providers,later
Look into refinancing mortgage options,later
Plan landscaping project for summer,later
Research childcare options for fall,later
Book tickets for concert next season,later
Plan retirement savings strategy,later
Look into home security system options,later
Research new smartphone options,later
Plan garden party for spring,later
Schedule teeth cleaning for next quarter,later
Research vacation destinations for winter,later
Plan home renovation timeline,later
Look into electric car options,later
Schedule annual eye exam,later
Plan holiday gift list and budget,later
Research coding bootcamp programs,later
Plan meal prep schedule for next month,later
Look into new credit card rewards,later
Schedule furnace inspection before winter,later
Plan date night ideas for anniversary month,later
Research family history and genealogy,later
Plan camping trip for summer,later
Look into yoga classes starting next month,later
Schedule roof inspection in spring,later
Plan vegetable garden for next season,later
Buy milk and bread,normal
Water the plants,normal
Take vitamins,normal
Call sister this weekend,normal
Clean out garage,normal
Organize photo albums,normal
Read new book from library,normal
Try new restaurant downtown,normal
Update LinkedIn profile,normal
Backup computer files,normal
Wash car when weather improves,normal
Practice guitar more regularly,normal
Organize desk drawers,normal
Write thank you notes,normal
Research weekend hiking trails,normal
Clean out email inbox,normal
Update emergency contact list,normal
Try meditation app,normal
Organize spice rack,normal
Research local farmers markets,normal
Clean bathroom mirrors,normal
Practice presentation skills,normal
Update resume with recent projects,normal
Try new coffee shop,normal
Organize bookshelf by genre,normal
Write in journal more often,normal
Research local volunteer opportunities,normal
Clean out old clothes for donation,normal
Try cooking new recipe this week,normal
Organize digital photos on computer,normal
Research better sleep habits,normal
Clean out refrigerator,normal
Practice time management techniques,normal
Update social media privacy settings,normal
Try new workout routine,normal
Organize craft supplies,normal
Write letters to old friends,normal
Research local history museum,normal
Clean out car glove compartment,normal
Practice deep breathing exercises,normal
Update home inventory for insurance,normal
Try growing herbs on windowsill,normal
Organize toolbox in garage,normal
Research local art classes,normal
Clean keyboard and computer screen,normal
Practice saying no to overcommitments,normal
Update address book with new contacts,normal
Try meal planning for the week,normal
Organize medicine cabinet,normal
Research local walking groups,normal
Complete tax paperwork by April 15th,urgent
Fix leaking faucet today,urgent
Respond to job offer by tomorrow,urgent
Pick up dry cleaning before they close,urgent
Finish quarterly budget review today,urgent
Call insurance company about claim,urgent
Submit medical forms by deadline,urgent
Prepare for board meeting tomorrow,urgent
Fix printer before important documents needed,urgent
Update website content before launch,urgent
Call contractor about urgent repairs,urgent
Submit grant application today,urgent
Prepare presentation slides for tomorrow,urgent
Call school about child's absence,urgent
Fix air conditioning before heatwave,urgent
Complete safety inspection report today,urgent
Call veterinarian about pet emergency,urgent
Submit invoice to get paid this week,urgent
Fix security camera before weekend,urgent
Call utility company about billing error,urgent
Upload documents for loan approval,urgent
Fix garage door before guests arrive,urgent
Call doctor about test results,urgent
Submit contract changes by COB,urgent
Fix heating before cold weather,urgent
Call pharmacy about prescription mix-up,urgent
Submit performance review by deadline,urgent
Fix computer virus before data loss,urgent
Call attorney about urgent legal matter,urgent
Submit scholarship application today,urgent
Plan retirement party for next month,later
Research new home security systems,later
Plan summer camp for kids,later
Look into language exchange programs,later
Plan home theater setup,later
Research sustainable living practices,later
Plan business expansion strategy,later
Look into adoption process,later
Plan cross-country road trip,later
Research international study programs,later
Plan outdoor wedding ceremony,later
Look into franchise opportunities,later
Plan community garden project,later
Research renewable energy options,later
Plan fundraising event for charity,later
Look into professional photography,later
Plan multi-generational family trip,later
Research sustainable fashion brands,later
Plan backyard camping adventure,later
Look into pet adoption process,later
Plan educational trip with children,later
Research historical preservation volunteer work,later
Plan surprise party for spouse,later
Look into remote work opportunities,later
Plan neighborhood block party,later
Research elderly care options for parents,later
Plan skills-based volunteer project,later
Look into art therapy programs,later
Plan sustainable travel itinerary,later
Research permaculture gardening techniques,later
Buy groceries for the week,normal
Call dentist for routine cleaning,normal
Organize closet by season,normal
Read industry newsletters,normal
Clean bathroom thoroughly,normal
Practice public speaking,normal
Organize important documents,normal
Try new podcast series,normal
Write weekly meal plan,normal
Clean windows throughout house,normal
Practice mindfulness exercises,normal
Organize garage storage,normal
Try new hobby or craft,normal
Write personal mission statement,normal
Clean out old emails,normal
Practice gratitude journaling,normal
Organize holiday decorations,normal
Try new fitness class,normal
Write reviews for recent purchases,normal
Clean baseboards and trim,normal
Practice active listening skills,normal
Organize financial documents,normal
Try new streaming service,normal
Write letters to future self,normal
Clean light fixtures and fans,normal
Practice stress management techniques,normal
Organize seasonal clothing,normal
Try new board games,normal
Write family newsletter,normal
Clean grout in bathroom tiles,normal
Finish budget analysis by end of day,urgent
Get car inspected before registration expires,urgent
Respond to client email immediately,urgent
Pick up wedding dress before ceremony,urgent
Submit final grades by midnight,urgent
Call mechanic about strange car noise,urgent
Fix broken window before rain,urgent
Upload resume for job interview tomorrow,urgent
Call parent about emergency situation,urgent
Submit building permit application today,urgent
Fix internet connection for work meeting,urgent
Call creditor about payment arrangement,urgent
Get passport renewed before trip,urgent
Submit insurance claim forms today,urgent
Fix electrical problem before fire hazard,urgent
Call college admissions office urgently,urgent
Get medical clearance for surgery tomorrow,urgent
Submit loan documents by closing date,urgent
Fix roof leak before storm arrives,urgent
Call employer about schedule conflict,urgent
Get car towed from no parking zone,urgent
Submit court documents by filing deadline,urgent
Fix gas leak immediately for safety,urgent
Call child's school about emergency pickup,urgent
Get blood pressure checked today,urgent
Submit application before program closes,urgent
Fix burglar alarm before leaving town,urgent
Call surgeon about pre-op instructions,urgent
Get emergency dental work done,urgent
Submit final audit report today,urgent
Plan home addition for growing family,later
Research master's degree programs,later
Plan golden anniversary celebration,later
Look into starting small business,later
Plan extended sabbatical travel,later
Research assisted living facilities,later
Plan children's college fund strategy,later
Look into career change options,later
Plan multi-year garden transformation,later
Research early retirement planning,later
Plan major kitchen remodel,later
Look into second home purchase,later
Plan cultural immersion experience,later
Research family trust establishment,later
